frame,stage,det_index,matched,selected_track_id,best_track_id,appearance_cost,position_cost,path_cost,final_cost,x1,y1,w,h,bev_x,bev_y
4,primary,53,0,18,18,0.044384,0.365904,0.998703,0.458264,35.55,673.84,65.95,37.24,1588.153492,27.467873
4,primary,54,0,58,58,0.071871,0.705408,0.000000,0.106476,828.27,1510.59,97.86,68.80,1112.430117,747.070174
4,primary,55,1,60,60,0.017886,0.000890,0.000000,0.009032,2995.40,693.86,51.30,39.53,1459.549839,1393.036418
4,primary,56,1,53,53,0.029489,0.017912,0.987149,0.411395,2117.16,392.38,42.09,49.18,1755.141062,1124.105074
4,primary,57,1,52,52,0.024916,0.000353,0.121680,0.061166,2841.44,215.71,100.29,46.95,1922.659571,1539.765281
4,primary,58,0,5,5,0.091703,0.903730,0.965092,0.522261,1318.42,765.21,75.54,42.09,1451.627082,786.554957
4,primary,59,1,39,39,0.017152,0.001485,0.999907,0.408687,1079.77,784.00,53.78,39.73,1446.335173,680.601735
4,primary,60,0,1,1,0.074808,1.000000,0.999953,inf,2447.89,1180.20,35.79,88.31,1217.855581,1152.332665
4,unconfirmed,0,0,62,62,0.098035,1.000000,0.000000,inf,2077.29,1267.67,34.65,51.77,1199.588409,1055.646652
4,unconfirmed,1,0,62,62,0.150513,1.000000,0.000000,inf,35.55,673.84,65.95,37.24,1588.153492,27.467873
4,unconfirmed,2,1,62,62,0.005070,0.000015,0.000000,0.002537,828.27,1510.59,97.86,68.80,1112.430117,747.070174
4,unconfirmed,3,0,62,62,0.090104,1.000000,0.000000,inf,1318.42,765.21,75.54,42.09,1451.627082,786.554957
4,unconfirmed,4,0,62,62,0.121474,1.000000,0.000000,inf,2447.89,1180.20,35.79,88.31,1217.855581,1152.332665
5,primary,0,1,11,11,0.022570,0.000003,0.236239,0.105781,1235.77,879.25,131.75,65.28,1364.494179,788.327342
5,primary,1,1,9,9,0.022362,0.000628,0.990771,0.407552,1959.03,817.14,136.27,77.65,1382.663314,1048.249793
5,primary,2,1,1,1,0.016421,0.000042,0.973258,0.397518,2828.76,803.20,158.86,83.74,1374.759672,1322.392411
5,primary,3,1,4,4,0.037004,0.000555,0.997368,0.417505,2184.73,731.47,97.90,84.53,1425.577437,1123.451070
5,primary,4,1,2,13,0.022383,0.000012,0.347539,0.150209,2849.56,675.91,79.36,83.59,1446.412451,1345.916229
5,primary,5,1,3,13,0.034522,0.000012,0.629169,0.268930,2773.52,658.65,70.28,91.91,1453.780184,1323.042066
5,primary,6,1,6,6,0.018823,0.000914,0.017721,0.016591,110.20,690.42,69.33,42.00,1561.110141,101.810259
5,primary,7,1,12,13,0.021410,0.000015,0.336161,0.145171,2536.60,615.46,92.70,65.41,1506.844072,1263.860126
5,primary,8,1,7,7,0.020391,0.000013,0.072383,0.039150,2936.97,698.97,78.48,82.19,1431.610906,1366.712193
5,primary,9,1,27,27,0.023528,0.000096,0.913480,0.377166,1263.43,938.82,124.21,73.54,1327.006998,807.720539
5,primary,10,1,14,14,0.023630,0.000041,0.316640,0.138475,1066.12,925.42,91.21,60.24,1343.454567,722.298554
5,primary,11,1,20,20,0.045928,0.001901,0.480544,0.215371,2463.28,547.52,96.05,63.55,1563.203271,1252.645863
5,primary,12,1,8,8,0.016298,0.001564,0.949656,0.388168,272.66,658.92,75.76,43.65,1583.510898,183.183840
5,primary,13,1,10,13,0.013747,0.000047,0.357471,0.149866,2483.10,587.48,103.85,62.14,1531.709201,1253.322187
5,primary,14,1,23,23,0.028063,0.000305,0.620568,0.262289,2684.02,258.90,296.88,136.47,1754.136196,1445.807908
5,primary,15,1,33,33,0.037797,0.000165,0.727236,0.309810,2115.74,556.76,45.57,70.15,1565.715561,1104.702440
5,primary,16,1,32,32,0.023405,0.000068,0.249328,0.111441,902.34,862.09,111.63,52.04,1388.176758,641.161035
5,primary,17,1,19,19,0.016572,0.000173,0.490313,0.204428,591.58,888.90,76.25,44.31,1381.539075,501.555617
5,primary,18,1,5,5,0.022890,0.000122,0.015214,0.017543,1329.12,761.99,353.00,139.41,1386.886957,860.693343
5,primary,19,1,17,45,0.013558,0.000038,0.588867,0.242330,2602.97,418.47,74.66,54.94,1682.933257,1338.669626
5,primary,20,1,18,18,0.018903,0.016697,0.635542,0.265338,58.06,666.33,64.81,35.76,1596.850420,33.047129
5,primary,21,1,29,29,0.030978,0.000294,0.358546,0.158937,2528.74,377.65,84.60,57.96,1728.257981,1321.993839
5,primary,22,1,15,15,0.074764,0.000040,0.016423,0.043955,2478.92,460.77,53.84,68.34,1635.860153,1269.125648
5,primary,23,1,26,26,0.027290,0.000188,0.746223,0.312153,2110.57,439.37,50.76,110.52,1636.433959,1110.864983
5,primary,24,1,21,14,0.044497,0.010661,0.840667,0.359581,1083.37,865.26,112.62,63.45,1376.175846,721.002392
5,primary,25,1,58,62,0.015294,0.000002,0.949120,0.387295,894.00,1402.73,86.17,67.40,1144.237141,748.503716
5,primary,26,1,28,28,0.025202,0.001168,0.200067,0.092744,2477.50,363.53,82.78,53.47,1753.665236,1305.267084
5,primary,27,1,16,13,0.020992,0.000035,0.897336,0.369434,2714.32,648.40,44.36,84.50,1466.807115,1304.094494
5,primary,28,1,22,22,0.010989,0.001263,0.046738,0.024316,2653.22,451.37,94.89,58.72,1643.170297,1350.817293
5,primary,29,1,48,45,0.024644,0.000054,0.413231,0.177620,2681.76,516.83,63.09,53.59,1588.410984,1337.421477
5,primary,30,1,13,13,0.018212,0.000021,0.002710,0.010192,2605.34,590.74,117.93,125.24,1479.925505,1284.136378
5,primary,31,1,34,34,0.019749,0.013866,0.763293,0.316578,2568.09,392.78,75.71,53.73,1713.700561,1333.201148
5,primary,32,1,41,43,0.021980,0.005395,0.634399,0.265289,2445.87,349.99,57.51,38.83,1791.785037,1294.086772
5,primary,33,1,25,25,0.034858,0.000333,0.081426,0.050033,0.59,691.54,47.60,44.71,1563.433014,24.182260
5,primary,34,1,24,24,0.023240,0.000030,0.141164,0.068089,456.17,833.99,104.36,52.62,1415.633994,421.702154
5,primary,35,1,35,35,0.016446,0.000340,0.173806,0.077779,455.80,878.62,63.87,51.96,1385.729956,433.650587
5,primary,36,1,45,45,0.073181,0.981736,0.000000,0.134764,2585.59,407.13,73.29,50.11,1701.020694,1336.485062
