3,15,2478.87,460.65,53.83,68.61,0.61,-1,-1,-1
3,16,2714.23,648.32,44.73,84.30,0.64,-1,-1,-1
3,17,2603.18,417.85,73.35,55.55,0.68,-1,-1,-1
3,18,69.10,667.39,60.27,33.57,0.57,-1,-1,-1
3,19,591.16,889.10,75.54,44.81,0.68,-1,-1,-1
3,20,2463.95,547.12,95.27,62.93,0.81,-1,-1,-1
3,21,1083.17,865.23,111.00,62.63,0.65,-1,-1,-1
3,22,2654.06,451.70,92.87,58.59,0.57,-1,-1,-1
3,23,2674.89,258.29,305.68,137.13,0.82,-1,-1,-1
3,24,456.78,834.04,103.05,52.18,0.53,-1,-1,-1
3,25,0.77,690.99,56.81,45.87,0.63,-1,-1,-1
3,26,2111.00,439.51,50.45,110.54,0.56,-1,-1,-1
3,27,1262.69,938.64,124.20,73.48,0.82,-1,-1,-1
3,28,2477.32,364.18,79.91,52.22,0.61,-1,-1,-1
3,29,2527.98,376.86,84.40,58.89,0.63,-1,-1,-1
3,30,2683.08,464.44,68.40,55.40,0.45,-1,-1,-1
3,31,2612.56,566.88,72.85,63.41,0.23,-1,-1,-1
3,32,902.19,862.54,112.64,51.56,0.68,-1,-1,-1
3,33,2115.35,556.58,45.89,70.18,0.69,-1,-1,-1
3,34,2564.29,390.36,72.94,54.42,0.48,-1,-1,-1
3,35,455.50,879.59,64.18,51.47,0.45,-1,-1,-1
3,36,336.94,876.81,73.59,46.68,0.37,-1,-1,-1
3,37,2110.05,338.25,39.58,50.73,0.28,-1,-1,-1
3,38,1692.60,188.41,73.20,45.51,0.33,-1,-1,-1
3,39,1079.77,784.00,53.78,39.73,0.10,-1,-1,-1
3,40,2106.46,280.60,37.56,53.60,0.42,-1,-1,-1
3,41,2445.70,349.83,57.99,39.40,0.49,-1,-1,-1
3,42,360.11,827.64,62.03,46.52,0.43,-1,-1,-1
3,43,2426.05,329.53,56.49,41.94,0.19,-1,-1,-1
3,44,1774.24,221.36,71.82,43.78,0.48,-1,-1,-1
3,46,3074.37,797.10,67.91,40.00,0.17,-1,-1,-1
